id_cliente,Nombre,Apellido,Direccion,Telefono,Tarjeta,Edad,Salario,Genero,id_pais
1,Vivian,Schultz,1511 Pooh Bear Lane,4608499546,1.97928E+15,55,100000,F,11
2,Natisha,Flores,3663 McDowell Street,5119315633,3.14452E+15,80,40000,F,11
3,Mary,Love,4954 Woodhill Avenue,6297761196,8.72809E+15,47,100000,F,11
4,Lawrence,Bart,4820 James Street,9862764981,7.16001E+15,44,40000,M,11
5,Johnny,Roman,485 Broadcast Drive,2841895775,8.3771E+15,21,20000,M,11
6,Aubrey,Porter,4187 Bolman Court,6192740010,7.73028E+15,72,100000,M,11
7,Alberto,Ramirez,203 Public Works Drive,9743191382,5.91496E+15,52,60000,M,11
8,Jose,Cortes,4142 Walkers Ridge Way,7576564107,7.66395E+15,67,80000,M,11
9,Robert,Pope,527 Progress Way,7291678624,7.17207E+15,86,100000,M,11
10,Jacqueline,McMillan,2619 Bridge Street,2603867587,5.48673E+15,44,40000,F,11
11,Dawn,Lindsey,603 School House Road,2415449050,6.63099E+15,58,60000,F,11
12,Joseph,Carpenter,2719 Marigold Lane,1896033667,3.71587E+15,27,20000,M,11
13,Thomas,George,3089 Burwell Heights Road,3029418206,3.61746E+15,43,100000,M,11
14,Anthony,Gann,3267 Murphy Court,3748672054,3.344E+15,85,80000,M,11
15,Christian,Crouse,3229 Wiseman Street,3354132892,8.718E+15,66,100000,M,11
16,Joyce,Nichols,4033 Fieldcrest Road,6914808178,9.42267E+15,61,80000,F,11
17,Arthur,South,372 Bryan Street,1436497137,4.46193E+15,28,60000,M,11
18,William,Lighty,3722 Hinkle Deegan Lake Road,4002123087,2.97222E+15,52,100000,M,11
19,Carlos,Wigfall,2471 Berkley Street,6334227072,6.36706E+15,59,40000,M,11
20,Gretchen,Hunter,3735 Summit Park Avenue,7467996902,2.6566E+15,32,80000,F,11
21,Kevin,Boyd,1236 Briercliff Road,9981729052,5.71194E+15,69,40000,M,11
22,Bernard,Gallagher,168 Trails End Road,5221450049,6.2831E+15,52,100000,M,11
23,Elias,Purdue,4627 Marion Drive,8606105897,6.40686E+15,56,100000,M,11
24,Valerie,Duncan,2371 Poling Farm Road,1759698957,7.40219E+15,88,100000,F,11
25,Whitley,Chase,2689 Henery Street,7232171147,4.90958E+15,61,20000,F,11
26,Randall,Williams,3109 Green Acres Road,1757661798,8.07339E+15,81,20000,M,11
27,Veronica,Ballard,18 Green Gate Lane,6716835282,6.62192E+15,67,20000,F,11
28,Jessica,Layton,1098 George Street,6049066172,8.86072E+15,63,100000,F,11
29,Barry,Nelson,1718 Oral Lake Road,3449703700,1.61411E+15,82,80000,M,11
30,Noah,Savage,894 Pride Avenue,2016678561,2.86531E+15,66,60000,M,11
31,Tiffany,Ambler,1636 Davis Lane,4837704029,1.4542E+15,82,100000,F,11
32,Jamie,Beattie,2501 Lyndon Street,1184575169,9.08095E+15,48,20000,F,11
33,Deana,Ladner,4920 Pinnickinnick Street,1806894893,9.71555E+15,31,40000,F,11
34,Floyd,Chambers,821 Dogwood Lane,7282866423,1.10513E+15,64,20000,M,11
35,Christina,Stewart,490 Comfort Court,4409192440,7.24682E+15,63,80000,F,11
36,Ronald,Key,2608 Oxford Court,3021789304,9.0735E+15,48,80000,M,11
37,Michael,Nichols,82 Bagwell Avenue,5803405046,1.89666E+15,60,20000,M,11
38,Terry,Miller,4570 Travis Street,2906073166,9.45684E+15,71,40000,M,11
39,Keith,Gonzalez,2917 Byers Lane,6284773018,4.91266E+15,23,60000,M,11
